Tweet_ID,Timestamp,Author_ID,Text,Clean_Text,Polarity,Sentiment
1948730831612137695,2025-07-25 13:03:30+00:00,602691307,@ECISVEEP @airnewsalerts @DDNewslive @DDNewsHindi @PIB_India Greatly welcome. None has the authority to differ with SIR. Let the process which is overdue since decades be continued for the sake of Generation Next to participate in free and fair elections. It's apparent those believe in appeasement vote bank politics won't support the,greatly welcome none has the authority to differ with sir let the process which is overdue since decades be continued for the sake of generation next to participate in free and fair elections its apparent those believe in appeasement vote bank politics wont support the,0.39,Positive
1948730160091455957,2025-07-25 13:00:50+00:00,865470149763059712,"Hey @RahulGandhi  , Election commission is committed to India's progress in a compliance oriented election process, therefore respecting it , it is your duty 

You and your party will continue to lose elections across India in the near future and future, because Hindus or https://t.co/hFdKYAfFGK","hey    election commission is committed to indias progress in a compliance oriented election process therefore respecting it  it is your duty 

you and your party will continue to lose elections across india in the near future and future because hindus or",0.03333333333333333,Neutral
1948729842033119259,2025-07-25 12:59:34+00:00,1833711472087572480,"@PMRCLofficial @AbhaySinghIAS @_sharma999 @IPRDBihar @UDHDBIHAR @dm_patna @MoHUA_India @BiharTransport Please don’t rush work due to elections. Politicians may cut the ribbon and leave, but we Patnaites will live with the results. Take the time needed—just ensure next time, things open only after full and proper development.",please dont rush work due to elections politicians may cut the ribbon and leave but we patnaites will live with the results take the time neededjust ensure next time things open only after full and proper development,0.05162337662337662,Neutral
1948728519351030077,2025-07-25 12:54:19+00:00,1661981214385872896,"@ugiboogie2 @sandeep_PT This govt. has to fall in a matter of time,so the electoral process get a reset and culprits be punished for their crimes against constitution or in the next election they will fix the match again.After a reset INDIA alliance should ask for elections immediately to destroy germs.",this govt has to fall in a matter of timeso the electoral process get a reset and culprits be punished for their crimes against constitution or in the next election they will fix the match againafter a reset india alliance should ask for elections immediately to destroy germs,-0.1,Neutral
1948727888142077972,2025-07-25 12:51:48+00:00,1869363800710807552,"@MeghUpdates I don't understand why congress keeps repeating the same mistake before elections.  They make fun of Modi and end up on the loosing side.  

Seriously , some sensible person has to take control of congress.  If not India will be left with no meaningful opposition.","i dont understand why congress keeps repeating the same mistake before elections  they make fun of modi and end up on the loosing side  

seriously  some sensible person has to take control of congress  if not india will be left with no meaningful opposition",-0.056666666666666664,Neutral
1948727474969538710,2025-07-25 12:50:10+00:00,374075353,"@poonamjourno This clearly reveals the sinister designs of ECI. Hook or crook the INDIA Bloc, ADR and other NGOs should ensure that this exercise is not applicable for upcoming Bihar elections.",this clearly reveals the sinister designs of eci hook or crook the india bloc adr and other ngos should ensure that this exercise is not applicable for upcoming bihar elections,-0.17500000000000002,Negative
1948726628252574112,2025-07-25 12:46:48+00:00,133320996,@Desi_Chatka @ECISVEEP @airnewsalerts @DDNewslive @DDNewsHindi @PIB_India Elections will be after monsoon. Even pardiwala doesn't have birth certificate.,elections will be after monsoon even pardiwala doesnt have birth certificate,0.0,Neutral
1948725357319737435,2025-07-25 12:41:45+00:00,1421771722160623616,"@ECISVEEP @airnewsalerts @DDNewslive @DDNewsHindi @PIB_India Elections during monsoon in Bihar—when floods peak and most are migrant workers. Add to that: demand for 50-year-old birth certificates in a state with high illiteracy, where most were born at home with no records. This isn’t reform, it’s exclusion. #VoterRights #Bihar",elections during monsoon in biharwhen floods peak and most are migrant workers add to that demand for yearold birth certificates in a state with high illiteracy where most were born at home with no records this isnt reform its exclusion voterrights bihar,0.3866666666666667,Positive
1948725305817866375,2025-07-25 12:41:33+00:00,1313998589069266944,"SIR (Special Intensive Revision) is unconstitutional and a big farse

An sneaky attempt to steal elections in Bihar by #Sanghis
#ResistIndia
@PIB_India

https://t.co/ldTtJePwwV

https://t.co/CeHSWYlxy4","sir special intensive revision is unconstitutional and a big farse

an sneaky attempt to steal elections in bihar by sanghis
resistindia",0.17857142857142858,Positive
1948725135810461936,2025-07-25 12:40:52+00:00,1364582760015220739,"@ECISVEEP @airnewsalerts @DDNewslive @DDNewsHindi @PIB_India What do you mean by full faith??? We don't trust your processes &amp; procedures of elections. You become non transparent, biased &amp; unfair. You are not providing the details requested by the opposition. They represent people of India and are part &amp; parcel of democracy.

@INCIndia",what do you mean by full faith we dont trust your processes amp procedures of elections you become non transparent biased amp unfair you are not providing the details requested by the opposition they represent people of india and are part amp parcel of democracy,-0.15416666666666667,Negative
1948722426864705561,2025-07-25 12:30:06+00:00,1720665183188922368,"@djblood___ @ikamalhaasan Rajya Sabha MPs in India can legislate on union/concurrent matters, declare state subjects national for laws, create All India Services, oversee govt via debates/questions, vote in presidential elections, amend the Constitution, and impeach officials like the President or judges.",rajya sabha mps in india can legislate on unionconcurrent matters declare state subjects national for laws create all india services oversee govt via debatesquestions vote in presidential elections amend the constitution and impeach officials like the president or judges,0.0,Neutral
1948719973968298090,2025-07-25 12:20:21+00:00,1682062453658755074,@ECISVEEP @PIB_India @PIBFactCheck @DDNewslive @DDNewsHindi @airnewsalerts Why don’t you file defamation case or ban them from elections fof blatant lying and misguiding,why dont you file defamation case or ban them from elections fof blatant lying and misguiding,-0.5,Negative
1948719633965391949,2025-07-25 12:19:00+00:00,1327283723528593408,"@ECISVEEP @airnewsalerts @DDNewslive @DDNewsHindi @PIB_India CONGRESS RULED INDIA = 50 YEARS 

BJP RULED INDIA = 18 Years

OTHERS (WITH ALLIANCE WITH CONGRESS AND BJP) = 10

ALMOST 70% ELECTIONS IN FAVOUR OF CONGRESS 

&amp; NOW CONGRESS IS AGAINST ECI
SAME CONGRESS WON 70% ELECTIONS IN INDIA FROM (1947-2025) USING SAME @ECISVEEP","congress ruled india   years 

bjp ruled india   years

others with alliance with congress and bjp  

almost  elections in favour of congress 

amp now congress is against eci
same congress won  elections in india from  using same",0.0,Neutral
1948718547712311594,2025-07-25 12:14:41+00:00,1634545132409085953,"@TimesAlgebraIND Rahul Gandhi says PM Modi is ""nothing"" and just a media-created balloon.
Irony died a slow death — a dynast who inherited a party and still can’t win elections is calling a 3-time CM and 2-time PM ""hype"".
India has seen the substance. That’s why it keeps voting for it. 🇮🇳","rahul gandhi says pm modi is nothing and just a mediacreated balloon
irony died a slow death  a dynast who inherited a party and still cant win elections is calling a time cm and time pm hype
india has seen the substance thats why it keeps voting for it",0.25,Positive
1948718340534665310,2025-07-25 12:13:52+00:00,321865220,@Priyaa_Purohit Last three elections people of India decided who is good for nothing!,last three elections people of india decided who is good for nothing,0.35,Positive
1948717770646192321,2025-07-25 12:11:36+00:00,1497442126929743872,"#cpimspeak is so concerned about Gaza, we wonder if they’re contesting elections in Palestine next.😂
#CPIM 
https://t.co/PEAOCcfMhD","cpimspeak is so concerned about gaza we wonder if theyre contesting elections in palestine next
cpim",0.0,Neutral
